Date,IXIC,GSPC,GDAXI
2011-09-22,2455.669922,1129.560059,5072.330078
2011-09-23,2483.22998,1136.430054,5166.359863
2011-09-26,2516.689941,1162.949951,5340.189941
2011-09-27,2546.830078,1175.380005,5508.240234
2011-09-28,2491.580078,1151.060059,5573.509766
2011-09-29,2480.76001,1160.400024,5415.910156
2011-09-30,2415.399902,1131.420044,5571.680176
2011-10-03,2335.830078,1099.22998,5433.799805
2011-10-04,2404.820068,1123.949951,5164.209961
2011-10-05,2460.51001,1144.030029,5196.560059
2011-10-06,2506.820068,1164.969971,5345.560059
2011-10-07,2479.350098,1155.459961,5628.439941
2011-10-10,2566.050049,1194.890015,5578.419922
2011-10-11,2583.030029,1195.540039,5639.580078
2011-10-12,2604.72998,1207.25,5502.02002
2011-10-13,2620.23999,1203.660034,5216.709961
2011-10-14,2667.850098,1224.579956,5473.029785
2011-10-17,2614.919922,1200.859985,5645.25
2011-10-18,2657.429932,1225.380005,5675.700195
2011-10-19,2604.040039,1209.880005,5847.290039
2011-10-20,2598.620117,1215.390015,5865.009766
2011-10-21,2637.459961,1238.25,5994.470215
2011-10-24,2699.439941,1254.189941,5914.839844
2011-10-25,2638.419922,1229.050049,5967.200195
2011-10-26,2650.669922,1242,5859.430176
2011-10-27,2738.629883,1284.589966,5877.410156
2011-10-28,2737.149902,1285.089966,5913.529785
2011-10-31,2684.409912,1253.300049,5766.47998
2011-11-01,2606.959961,1218.280029,5970.959961
2011-11-02,2639.97998,1237.900024,6055.27002
2011-11-03,2697.969971,1261.150024,6046.75
2011-11-04,2686.149902,1253.22998,6016.069824
2011-11-07,2695.25,1261.119995,6337.839844
2011-11-08,2727.48999,1275.920044,6346.189941
2011-11-09,2621.649902,1229.099976,6141.339844
2011-11-10,2625.149902,1239.699951,5834.509766
2011-11-11,2678.75,1263.849976,5965.629883
2011-11-14,2657.219971,1251.780029,6133.180176
2011-11-15,2686.199951,1257.810059,5966.160156
2011-11-16,2639.610107,1236.910034,5928.680176
2011-11-17,2587.98999,1216.130005,5961.439941
2011-11-18,2572.5,1215.650024,5829.540039
2011-11-21,2523.139893,1192.97998,5867.810059
2011-11-22,2521.280029,1188.040039,6057.029785
2011-11-23,2460.080078,1161.790039,5985.02002
2011-11-25,2441.51001,1158.670044,5933.140137
2011-11-28,2527.340088,1192.550049,5913.359863
2011-11-29,2515.51001,1195.189941,5850.169922
2011-11-30,2620.340088,1246.959961,5800.240234
2011-12-01,2626.199951,1244.579956,5606
2011-12-02,2626.929932,1244.280029,5537.390137
2011-12-05,2655.76001,1257.079956,5457.77002
2011-12-06,2649.560059,1258.469971,5428.109863
2011-12-07,2649.209961,1261.01001,5492.870117
2011-12-08,2596.379883,1234.349976,5745.330078
2011-12-09,2646.850098,1255.189941,5799.910156
2011-12-12,2612.26001,1236.469971,6088.839844
2011-12-13,2579.27002,1225.72998,6035.879883
2011-12-14,2539.310059,1211.819946,6080.680176
2011-12-15,2541.01001,1215.75,6106.089844
2011-12-16,2555.330078,1219.660034,6028.819824
